value_rank,team,squad_value_eur_m
1,France,1520
2,England,1360
3,Spain,1220
4,Portugal,1010
5,Germany,947
6,Brazil,928
7,Argentina,782
8,Netherlands,754
9,Norway,590
10,Belgium,548
11,Ivory Coast,522
12,Senegal,478
13,Turkey,474
14,Morocco,448
15,Sweden,406
16,Croatia,387
17,USA,386
18,Ecuador,369
19,Uruguay,359
20,Switzerland,333
21,Colombia,302
22,Japan,271
23,Algeria,257
24,Austria,245
25,Ghana,235
26,Canada,199
27,Mexico,192
28,Czech Republic,188
29,Scotland,170
30,Paraguay,154
31,Bosnia & Herzegovina,152
32,DR Congo,144
33,South Korea,139
34,Egypt,116
35,Uzbekistan,85
36,Australia,77
37,Tunisia,70
38,Haiti,56
39,Cape Verde,55
40,South Africa,49
41,Saudi Arabia,41
42,Panama,35
43,New Zealand,34
44,Iran,32
45,Curaçao,26
46,Iraq,21
47,Jordan,20
48,Qatar,20
